11, 4, 5, 9
12, 7, 6, 8
9, 5, 4, 9
12, 4, 5, 10
11, 5, 4, 6
12, 5, 5, 8
9, 4, 6, 11
11, 5, 4, 8
12, 7, 5, 10
11, 5, 5, 10
13, 5, 5, 7
12, 6, 6, 11
12, 5, 4, 10
14, 7, 6, 9
12, 6, 4, 11
10, 4, 6, 10
11, 4, 9, 13
11, 4, 6, 8
12, 5, 6, 11
13, 4, 5, 11
12, 5, 6, 9
13, 7, 6, 12
12, 3, 8, 11
14, 6, 7, 13
14, 6, 7, 9
13, 5, 9, 12
13, 4, 5, 11
17, 8, 9, 13
19, 10, 9, 13
16, 8, 10, 14
15, 6, 11, 13
15, 4, 8, 12
14, 7, 9, 11
17, 7, 10, 11
18, 9, 10, 14
21, 11, 11, 15
18, 8, 14, 17
18, 10, 12, 14
19, 9, 11, 16
21, 11, 11, 15
22, 8, 15, 17
25, 11, 16, 19
30, 12, 31, 27
69, 18, 97, 66
229, 67, 231, 170
255, 205, 186, 185
123, 150, 98, 101
